date,tag,title,link
2021/04/22,usecases, 第三方函式庫引發的資安問題探討,https://www.facebook.com/technologynoteniu/posts/271645274669612
2021/04/20,usecases, Intuit 探討管理200個叢集的經驗談, https://www.facebook.com/technologynoteniu/posts/270315501469256
2021/04/18,container, Container 底層如何透過 CFS 來控制資源使用量, https://www.facebook.com/technologynoteniu/posts/269031684930971
2021/04/16,introduction, Kubernetes 中 Vertical Pod Autoscaler 介紹, https://www.facebook.com/technologynoteniu/posts/267775275056612
2021/04/14,network, EKS 中如何避免IP 發放完畢,https://www.facebook.com/technologynoteniu/posts/266377761863030
2021/04/12,usecases, Serverless 年代下依然要使用k8s的四個理由, https://www.facebook.com/technologynoteniu/posts/264979925336147
2021/04/10,usecases, Netflix 如何打造自己的 Tracing System, https://www.facebook.com/technologynoteniu/posts/263624618805011
2021/04/08,container, Container image 中 alpine slim stretch 等的差異,https://www.facebook.com/technologynoteniu/posts/262302422270564
2021/04/06,introduction, Kubernetes 1.20 改動介紹, https://www.facebook.com/technologynoteniu/posts/260952135738926
2021/04/04,container, 不用 docker 工具來創建container image, https://www.facebook.com/technologynoteniu/posts/259585475875592
2021/04/02,cicd, Jenkins on Kubernetes, https://www.facebook.com/technologynoteniu/posts/258246896009450
2021/03/31,usecases, CNCF 科技雷達第四篇 探討 Secret Management, https://www.facebook.com/technologynoteniu/posts/256963952804411
2021/03/29,network, NetDevOps 的常用工具, https://www.facebook.com/technologynoteniu/posts/255824086251731
2021/03/25,container, podman 的使用經驗談, https://www.facebook.com/technologynoteniu/posts/252996263201180
2021/03/23,usecases, CNCF 科技雷達第三篇 Storage & Database 的選擇, https://www.facebook.com/technologynoteniu/posts/251654163335390
2021/03/21,others, kubernetes 維運小工具, https://www.facebook.com/technologynoteniu/posts/250015816832558
2021/03/19,cicd, 資安與 CI/CD 整合的架構談, https://www.facebook.com/technologynoteniu/posts/248697066964433
2021/03/17,usecases, Kubernetes 叢集被惡意挖礦經驗談, https://www.facebook.com/technologynoteniu/posts/247486180418855
2021/03/15,usecases, AWS 導入k8s 後服務慢上十倍, https://www.facebook.com/technologynoteniu/posts/246130560554417
2021/03/13,usecases, Istio 整合卡住, https://www.facebook.com/technologynoteniu/posts/244882024012604
